Ent Station,Ext Station,"Riders, Average Weekday, May 2012"
Anacostia,Tenleytown-AU,41.5
Anacostia,Twinbrook,8.8
Anacostia,U Street-Cardozo,68
Anacostia,Union Station,89.1
Anacostia,Van Dorn Street,4.9
Anacostia,Van Ness-UDC,21.4
Anacostia,Vienna,6.5
Anacostia,Virginia Square-GMU,5.6
Anacostia,Waterfront,52.6
Anacostia,West Falls Church,18.2
Anacostia,West Hyattsville,4.7
Anacostia,Wheaton,7.1
Anacostia,White Flint,8.6
Anacostia,Woodley Park-Zoo,9.5
Archives-Navy Memorial,Addison Road,0.6
Archives-Navy Memorial,Anacostia,12.3
Archives-Navy Memorial,Archives-Navy Memorial,9.4
Archives-Navy Memorial,Arlington Cemetery,0.3
Archives-Navy Memorial,Ballston,1
Archives-Navy Memorial,Benning Road,0.8
Archives-Navy Memorial,Bethesda,0.8
Archives-Navy Memorial,Braddock Road,5
Archives-Navy Memorial,Branch Avenue,3.6
Archives-Navy Memorial,Brookland,2.7
Archives-Navy Memorial,Capitol Heights,0.9
Archives-Navy Memorial,Capitol South,10.1
Archives-Navy Memorial,Cheverly,0.2
Archives-Navy Memorial,Clarendon,0.2
Archives-Navy Memorial,College Park-U of MD,7.3
Archives-Navy Memorial,Columbia Heights,13
Archives-Navy Memorial,Congress Heights,4.5
Archives-Navy Memorial,Court House,0.2
Archives-Navy Memorial,Crystal City,29
Archives-Navy Memorial,Deanwood,0.5
Archives-Navy Memorial,Dunn Loring,0.5
Archives-Navy Memorial,Dupont Circle,3
Archives-Navy Memorial,East Falls Church,0.6
Archives-Navy Memorial,Eastern Market,4.1
Archives-Navy Memorial,Eisenhower Avenue,1.8
Archives-Navy Memorial,Farragut North,4.3
Archives-Navy Memorial,Farragut West,4.5
Archives-Navy Memorial,Federal Center SW,5.6
Archives-Navy Memorial,Federal Triangle,0.5
Archives-Navy Memorial,Foggy Bottom,3
Archives-Navy Memorial,Forest Glen,0.2
Archives-Navy Memorial,Fort Totten,4.3
Archives-Navy Memorial,Franconia-Springfield,2
Archives-Navy Memorial,Friendship Heights,0.7
Archives-Navy Memorial,Gallery Place-Chinatown,11.1
Archives-Navy Memorial,Georgia Avenue-Petworth,3.7
Archives-Navy Memorial,Glenmont,0
Archives-Navy Memorial,Greenbelt,6.8
Archives-Navy Memorial,Grosvenor,0.3
Archives-Navy Memorial,Huntington,6
Archives-Navy Memorial,Judiciary Square,2
Archives-Navy Memorial,King Street,15.3
Archives-Navy Memorial,Landover,0.2
Archives-Navy Memorial,Largo Town Center,1.1
