Ent Station,Ext Station,"Riders, Average Weekday, May 2012"
Eastern Market,Braddock Road,8.5
Eastern Market,Branch Avenue,2.1
Eastern Market,Brookland,5
Eastern Market,Capitol Heights,3.9
Eastern Market,Capitol South,24.1
Eastern Market,Cheverly,1.5
Eastern Market,Clarendon,12.3
Eastern Market,Cleveland Park,2.4
Eastern Market,College Park-U of MD,2.9
Eastern Market,Columbia Heights,11.1
Eastern Market,Congress Heights,0.6
Eastern Market,Court House,20
Eastern Market,Crystal City,38.1
Eastern Market,Deanwood,4.8
Eastern Market,Dunn Loring,4.2
Eastern Market,Dupont Circle,63.1
Eastern Market,East Falls Church,4.7
Eastern Market,Eastern Market,4.6
Eastern Market,Eisenhower Avenue,1.4
Eastern Market,Farragut North,18.1
Eastern Market,Farragut West,381.2
Eastern Market,Federal Center SW,77.8
Eastern Market,Federal Triangle,105.8
Eastern Market,Foggy Bottom,215.3
Eastern Market,Forest Glen,0.5
Eastern Market,Fort Totten,1.7
Eastern Market,Franconia-Springfield,2
Eastern Market,Friendship Heights,11.6
Eastern Market,Gallery Place-Chinatown,34.6
Eastern Market,Georgia Avenue-Petworth,4.4
Eastern Market,Glenmont,0.2
Eastern Market,Greenbelt,1.6
Eastern Market,Grosvenor,1.4
Eastern Market,Huntington,2
Eastern Market,Judiciary Square,13.5
Eastern Market,King Street,24
Eastern Market,Landover,4.6
Eastern Market,Largo Town Center,8.7
Eastern Market,L'Enfant Plaza,69
Eastern Market,McPherson Square,243.4
Eastern Market,Medical Center,13.4
Eastern Market,Metro Center,153
Eastern Market,Minnesota Avenue,17.6
Eastern Market,Morgan Blvd.,1.7
Eastern Market,Mt. Vernon Square-UDC,4.6
Eastern Market,Navy Yard,1.5
Eastern Market,Naylor Road,0.1
Eastern Market,New Carrollton,18.4
Eastern Market,New York Ave,4.9
Eastern Market,Pentagon,47
Eastern Market,Pentagon City,16.8
Eastern Market,Potomac Avenue,3.6
Eastern Market,Prince George's Plaza,0.8
Eastern Market,Reagan Washington National Airport,20.5
Eastern Market,Rhode Island Avenue,1.6
Eastern Market,Rockville,5.5
Eastern Market,Rosslyn,78.7
Eastern Market,Shady Grove,2
Eastern Market,Shaw-Howard University,3.8
Eastern Market,Silver Spring,8.6
Eastern Market,Smithsonian,92.5
Eastern Market,Southern Avenue,0.8
Eastern Market,Stadium-Armory,9.9
Eastern Market,Suitland,4.8
Eastern Market,Takoma,1.5
Eastern Market,Tenleytown-AU,26
Eastern Market,Twinbrook,3.6
Eastern Market,U Street-Cardozo,5.3
Eastern Market,Union Station,6.6
Eastern Market,Van Dorn Street,2.4
Eastern Market,Van Ness-UDC,6.6
Eastern Market,Vienna,9.9
Eastern Market,Virginia Square-GMU,12.4
Eastern Market,Waterfront,4.1
Eastern Market,West Falls Church,19.3
Eastern Market,West Hyattsville,0.3
Eastern Market,Wheaton,0.7
Eastern Market,White Flint,3.6
Eastern Market,Woodley Park-Zoo,6.7
Eisenhower Avenue,Addison Road,0
Eisenhower Avenue,Anacostia,2.5
Eisenhower Avenue,Archives-Navy Memorial,71.5
Eisenhower Avenue,Arlington Cemetery,4
Eisenhower Avenue,Ballston,5.3
Eisenhower Avenue,Benning Road,0.2
Eisenhower Avenue,Bethesda,5.7
Eisenhower Avenue,Braddock Road,3.6
Eisenhower Avenue,Branch Avenue,0.1
Eisenhower Avenue,Brookland,2.5
Eisenhower Avenue,Capitol Heights,0
Eisenhower Avenue,Capitol South,27.5
Eisenhower Avenue,Cheverly,0
Eisenhower Avenue,Clarendon,1.4
Eisenhower Avenue,Cleveland Park,0.2
Eisenhower Avenue,College Park-U of MD,2
Eisenhower Avenue,Columbia Heights,4.2
Eisenhower Avenue,Congress Heights,0.2
Eisenhower Avenue,Court House,3.3
Eisenhower Avenue,Crystal City,53.8
Eisenhower Avenue,Deanwood,0
Eisenhower Avenue,Dunn Loring,0.5
Eisenhower Avenue,Dupont Circle,10.3
Eisenhower Avenue,East Falls Church,0.2
Eisenhower Avenue,Eastern Market,4.5
Eisenhower Avenue,Eisenhower Avenue,1.6
Eisenhower Avenue,Farragut North,17
Eisenhower Avenue,Farragut West,40.8
Eisenhower Avenue,Federal Center SW,15.4
Eisenhower Avenue,Federal Triangle,17.1
Eisenhower Avenue,Foggy Bottom,26.2
Eisenhower Avenue,Forest Glen,0
Eisenhower Avenue,Fort Totten,0.9
Eisenhower Avenue,Franconia-Springfield,2.6
Eisenhower Avenue,Friendship Heights,5.9
Eisenhower Avenue,Gallery Place-Chinatown,57.2
Eisenhower Avenue,Georgia Avenue-Petworth,1.7
Eisenhower Avenue,Glenmont,0.1
Eisenhower Avenue,Greenbelt,1.6
Eisenhower Avenue,Grosvenor,0
Eisenhower Avenue,Huntington,5.9
Eisenhower Avenue,Judiciary Square,9
Eisenhower Avenue,King Street,8.8
Eisenhower Avenue,Largo Town Center,0.1
Eisenhower Avenue,L'Enfant Plaza,97.6
Eisenhower Avenue,McPherson Square,34.5
Eisenhower Avenue,Medical Center,6.9
Eisenhower Avenue,Metro Center,23.7
Eisenhower Avenue,Minnesota Avenue,0.1
Eisenhower Avenue,Mt. Vernon Square-UDC,10.2
Eisenhower Avenue,Navy Yard,24.1
Eisenhower Avenue,Naylor Road,0
Eisenhower Avenue,New Carrollton,1.9
Eisenhower Avenue,New York Ave,14.2
Eisenhower Avenue,Pentagon,100.4
Eisenhower Avenue,Pentagon City,16.4
Eisenhower Avenue,Potomac Avenue,0.1
Eisenhower Avenue,Prince George's Plaza,0.2
Eisenhower Avenue,Reagan Washington National Airport,22.8
Eisenhower Avenue,Rhode Island Avenue,0.7
Eisenhower Avenue,Rockville,1.5
Eisenhower Avenue,Rosslyn,24.7
Eisenhower Avenue,Shady Grove,0.5
Eisenhower Avenue,Shaw-Howard University,0.5
Eisenhower Avenue,Silver Spring,5
Eisenhower Avenue,Smithsonian,14.4
Eisenhower Avenue,Southern Avenue,0.3
Eisenhower Avenue,Stadium-Armory,0.1
Eisenhower Avenue,Suitland,0.9
Eisenhower Avenue,Takoma,0.3
Eisenhower Avenue,Tenleytown-AU,7.2
Eisenhower Avenue,Twinbrook,1.8
Eisenhower Avenue,U Street-Cardozo,0.5
Eisenhower Avenue,Union Station,32.7
Eisenhower Avenue,Van Dorn Street,0.3
Eisenhower Avenue,Van Ness-UDC,2.8
Eisenhower Avenue,Vienna,0.4
Eisenhower Avenue,Virginia Square-GMU,0.1
Eisenhower Avenue,Waterfront,2.3
Eisenhower Avenue,West Falls Church,4.6
Eisenhower Avenue,West Hyattsville,0.2
Eisenhower Avenue,Wheaton,0.1
Eisenhower Avenue,White Flint,2
Eisenhower Avenue,Woodley Park-Zoo,1.1
Farragut North,Addison Road,1.7
Farragut North,Anacostia,3.6
Farragut North,Archives-Navy Memorial,7
Farragut North,Arlington Cemetery,0.6
Farragut North,Ballston,0.8
Farragut North,Benning Road,0.4
Farragut North,Bethesda,60.3
Farragut North,Braddock Road,0.5
Farragut North,Branch Avenue,1.5
Farragut North,Brookland,18.3
Farragut North,Capitol South,7.3
Farragut North,Cheverly,0
Farragut North,Clarendon,0
Farragut North,Cleveland Park,8.2
Farragut North,College Park-U of MD,6.8
Farragut North,Columbia Heights,5.6
Farragut North,Congress Heights,2.5
Farragut North,Court House,0.4
Farragut North,Crystal City,2.2
Farragut North,Deanwood,0.1
Farragut North,Dunn Loring,0.3
Farragut North,Dupont Circle,18.5
Farragut North,East Falls Church,0.3
Farragut North,Eastern Market,2.3
Farragut North,Eisenhower Avenue,0.1
Farragut North,Farragut North,44
Farragut North,Farragut West,0.4
Farragut North,Federal Center SW,3.3
Farragut North,Federal Triangle,6.1
Farragut North,Foggy Bottom,1
Farragut North,Forest Glen,3.6
Farragut North,Fort Totten,9.3
Farragut North,Franconia-Springfield,0.5
Farragut North,Friendship Heights,46.4
Farragut North,Gallery Place-Chinatown,96.7
Farragut North,Georgia Avenue-Petworth,2.4
Farragut North,Glenmont,5.1
Farragut North,Greenbelt,3.9
Farragut North,Grosvenor,7.7
Farragut North,Huntington,2.4
Farragut North,Judiciary Square,123.4
Farragut North,King Street,2.8
Farragut North,Landover,0.1
Farragut North,Largo Town Center,0.3
Farragut North,L'Enfant Plaza,8.5
Farragut North,McPherson Square,0.7
Farragut North,Medical Center,40.9
Farragut North,Metro Center,85.5
Farragut North,Minnesota Avenue,0.3
Farragut North,Morgan Blvd.,0.2
Farragut North,Mt. Vernon Square-UDC,5.4
Farragut North,Navy Yard,13.9
Farragut North,Naylor Road,0.4
Farragut North,New Carrollton,1
Farragut North,New York Ave,60.9
Farragut North,Pentagon,1.8
Farragut North,Pentagon City,1.8
Farragut North,Potomac Avenue,0.5
Farragut North,Prince George's Plaza,2.5
Farragut North,Reagan Washington National Airport,3.6
Farragut North,Rhode Island Avenue,8
Farragut North,Rockville,14.9
Farragut North,Rosslyn,1.2
Farragut North,Shady Grove,16.1
Farragut North,Shaw-Howard University,1.5
Farragut North,Silver Spring,26.7
Farragut North,Smithsonian,6.7
Farragut North,Southern Avenue,0.7
Farragut North,Stadium-Armory,0.4
Farragut North,Suitland,3.6
Farragut North,Takoma,9.9
Farragut North,Tenleytown-AU,51.1
Farragut North,Twinbrook,14.1
Farragut North,U Street-Cardozo,2.7
Farragut North,Union Station,257
Farragut North,Van Dorn Street,0.3
Farragut North,Van Ness-UDC,29.7
Farragut North,Vienna,0.2
Farragut North,Virginia Square-GMU,0.1
Farragut North,Waterfront,5.5
Farragut North,West Falls Church,0.5
Farragut North,West Hyattsville,2.5
Farragut North,Wheaton,1.6
Farragut North,White Flint,18.3
Farragut North,Woodley Park-Zoo,22.8
Farragut West,Addison Road,3.1
Farragut West,Anacostia,2.8
Farragut West,Archives-Navy Memorial,3.1
Farragut West,Arlington Cemetery,3.5
Farragut West,Ballston,102.6
Farragut West,Benning Road,3.1
Farragut West,Bethesda,0.8
Farragut West,Braddock Road,9
Farragut West,Branch Avenue,2
Farragut West,Brookland,1.7
Farragut West,Capitol Heights,0.7
Farragut West,Capitol South,95.9
Farragut West,Cheverly,0.8
Farragut West,Clarendon,18.2
Farragut West,Cleveland Park,0
Farragut West,College Park-U of MD,0.9
Farragut West,Columbia Heights,2
Farragut West,Congress Heights,0.5
Farragut West,Court House,64
Farragut West,Crystal City,56.9
Farragut West,Deanwood,2.5
Farragut West,Dunn Loring,21.1
Farragut West,Dupont Circle,1.2
Farragut West,East Falls Church,7.8
Farragut West,Eastern Market,17
Farragut West,Eisenhower Avenue,0.4
Farragut West,Farragut North,0.1
Farragut West,Farragut West,27.4
Farragut West,Federal Center SW,74.1
Farragut West,Federal Triangle,61
Farragut West,Foggy Bottom,28.3
Farragut West,Forest Glen,0.4
Farragut West,Fort Totten,0.7
Farragut West,Franconia-Springfield,12.6
Farragut West,Friendship Heights,0.5
Farragut West,Gallery Place-Chinatown,7.6
Farragut West,Georgia Avenue-Petworth,1.1
Farragut West,Glenmont,0.2
Farragut West,Greenbelt,1.7
Farragut West,Grosvenor,0
Farragut West,Huntington,3.2
Farragut West,Judiciary Square,6.1
Farragut West,King Street,27.5
Farragut West,Landover,2.1
Farragut West,Largo Town Center,4.5
Farragut West,L'Enfant Plaza,85.4
Farragut West,McPherson Square,22.6
Farragut West,Medical Center,0.4
Farragut West,Metro Center,37.7
Farragut West,Minnesota Avenue,5.2
Farragut West,Morgan Blvd.,1.2
Farragut West,Mt. Vernon Square-UDC,1.9
Farragut West,Navy Yard,11.1
Farragut West,Naylor Road,1.5
Farragut West,New Carrollton,9.5
Farragut West,New York Ave,5.3
Farragut West,Pentagon,42.2
Farragut West,Pentagon City,19.9
Farragut West,Potomac Avenue,3
Farragut West,Prince George's Plaza,0.5
Farragut West,Reagan Washington National Airport,19.4
Farragut West,Rhode Island Avenue,0.9
Farragut West,Rockville,0.3
Farragut West,Rosslyn,179.7
Farragut West,Shady Grove,0.4
Farragut West,Shaw-Howard University,0.7
Farragut West,Silver Spring,2.1
Farragut West,Smithsonian,68.1
Farragut West,Southern Avenue,3.5
Farragut West,Stadium-Armory,3.8
Farragut West,Suitland,2.8
Farragut West,Takoma,0.3
Farragut West,Tenleytown-AU,0.7
Farragut West,U Street-Cardozo,0.7
Farragut West,Union Station,15.6
Farragut West,Van Dorn Street,3.3
Farragut West,Van Ness-UDC,0.3
Farragut West,Vienna,20.5
Farragut West,Virginia Square-GMU,16.4
Farragut West,Waterfront,2.8
Farragut West,West Falls Church,50
Farragut West,West Hyattsville,1.1
Farragut West,Wheaton,0.1
Farragut West,White Flint,0.1
Farragut West,Woodley Park-Zoo,1.1
Federal Center SW,Addison Road,1.6
Federal Center SW,Anacostia,1
Federal Center SW,Archives-Navy Memorial,4.3
Federal Center SW,Arlington Cemetery,0.9
Federal Center SW,Ballston,9.4
Federal Center SW,Benning Road,0.7
Federal Center SW,Bethesda,2.9
Federal Center SW,Braddock Road,0.3
Federal Center SW,Branch Avenue,0.3
Federal Center SW,Brookland,1.5
Federal Center SW,Capitol Heights,0.4
Federal Center SW,Capitol South,16.6
Federal Center SW,Cheverly,0.5
Federal Center SW,Clarendon,2
Federal Center SW,Cleveland Park,0.5
Federal Center SW,College Park-U of MD,0.2
Federal Center SW,Columbia Heights,1
Federal Center SW,Congress Heights,0
Federal Center SW,Court House,5.4
Federal Center SW,Crystal City,4.5
Federal Center SW,Deanwood,0.2
Federal Center SW,Dunn Loring,2.8
Federal Center SW,Dupont Circle,7.8
Federal Center SW,East Falls Church,0.8
Federal Center SW,Eastern Market,7.9
Federal Center SW,Eisenhower Avenue,1
Federal Center SW,Farragut North,5.2
Federal Center SW,Farragut West,86.7
Federal Center SW,Federal Center SW,5.4
Federal Center SW,Federal Triangle,20.4
Federal Center SW,Foggy Bottom,42.9
Federal Center SW,Forest Glen,0.3
Federal Center SW,Fort Totten,0.2
Federal Center SW,Franconia-Springfield,0.5
Federal Center SW,Friendship Heights,0.9
Federal Center SW,Gallery Place-Chinatown,3.5
Federal Center SW,Georgia Avenue-Petworth,0.2
Federal Center SW,Glenmont,0.4
Federal Center SW,Greenbelt,1.3
Federal Center SW,Grosvenor,0.1
Federal Center SW,Huntington,0.3
Federal Center SW,Judiciary Square,1.9
Federal Center SW,King Street,1.4
Federal Center SW,Landover,0.3
Federal Center SW,Largo Town Center,3.2
Federal Center SW,L'Enfant Plaza,5.1
Federal Center SW,McPherson Square,48.5
Federal Center SW,Medical Center,2.6
Federal Center SW,Metro Center,32.1
Federal Center SW,Minnesota Avenue,3.4
Federal Center SW,Morgan Blvd.,0.9
Federal Center SW,Mt. Vernon Square-UDC,1.6
Federal Center SW,Navy Yard,4.1
Federal Center SW,Naylor Road,0
Federal Center SW,New Carrollton,6.4
Federal Center SW,New York Ave,3.6
Federal Center SW,Pentagon,4.2
Federal Center SW,Pentagon City,1.1
Federal Center SW,Potomac Avenue,5
Federal Center SW,Prince George's Plaza,0
Federal Center SW,Reagan Washington National Airport,3.6
Federal Center SW,Rhode Island Avenue,0.5
Federal Center SW,Rockville,1.5
Federal Center SW,Rosslyn,14.5
Federal Center SW,Shady Grove,0.6
Federal Center SW,Shaw-Howard University,0.4
Federal Center SW,Silver Spring,5
Federal Center SW,Smithsonian,13.6
Federal Center SW,Southern Avenue,0.4
Federal Center SW,Stadium-Armory,6
Federal Center SW,Suitland,0.8
Federal Center SW,Takoma,0.2
Federal Center SW,Tenleytown-AU,6.2
Federal Center SW,Twinbrook,1.6
Federal Center SW,U Street-Cardozo,0.1
Federal Center SW,Union Station,6.7
Federal Center SW,Van Dorn Street,1.1
Federal Center SW,Van Ness-UDC,1.4
Federal Center SW,Vienna,3.1
Federal Center SW,Virginia Square-GMU,2.1
Federal Center SW,Waterfront,0.1
Federal Center SW,West Falls Church,3.7
Federal Center SW,West Hyattsville,0.3
Federal Center SW,Wheaton,0.4
Federal Center SW,White Flint,0.4
Federal Center SW,Woodley Park-Zoo,2.3
Federal Triangle,Addison Road,2.2
Federal Triangle,Anacostia,1.4
Federal Triangle,Archives-Navy Memorial,0.2
Federal Triangle,Arlington Cemetery,2.6
Federal Triangle,Ballston,5.3
Federal Triangle,Benning Road,1
Federal Triangle,Bethesda,0.6
Federal Triangle,Braddock Road,0.2
Federal Triangle,Branch Avenue,1.6
Federal Triangle,Brookland,1
Federal Triangle,Capitol Heights,0.5
Federal Triangle,Capitol South,10.4
Federal Triangle,Cheverly,2.1
Federal Triangle,Clarendon,0.9
Federal Triangle,Cleveland Park,0
Federal Triangle,College Park-U of MD,0.6
Federal Triangle,Columbia Heights,0.6
Federal Triangle,Congress Heights,0.2
Federal Triangle,Court House,1.9
Federal Triangle,Crystal City,4.7
Federal Triangle,Deanwood,1
Federal Triangle,Dunn Loring,1
Federal Triangle,Dupont Circle,2.3
Federal Triangle,East Falls Church,1
Federal Triangle,Eastern Market,2.5
Federal Triangle,Eisenhower Avenue,0.3
Federal Triangle,Farragut North,3.1
Federal Triangle,Farragut West,15.4
Federal Triangle,Federal Center SW,9.9
Federal Triangle,Federal Triangle,13.2
Federal Triangle,Foggy Bottom,13.5
Federal Triangle,Forest Glen,0.1
Federal Triangle,Fort Totten,0.5
Federal Triangle,Franconia-Springfield,1.7
Federal Triangle,Friendship Heights,1.1
Federal Triangle,Gallery Place-Chinatown,1.6
Federal Triangle,Georgia Avenue-Petworth,0.1
Federal Triangle,Greenbelt,0.7
Federal Triangle,Grosvenor,0.1
Federal Triangle,Huntington,1
Federal Triangle,Judiciary Square,4.4
Federal Triangle,King Street,1.1
Federal Triangle,Landover,0.3
Federal Triangle,Largo Town Center,1.7
Federal Triangle,L'Enfant Plaza,15.7
Federal Triangle,McPherson Square,7.1
Federal Triangle,Medical Center,0.3
Federal Triangle,Metro Center,1.6
Federal Triangle,Minnesota Avenue,1.5
Federal Triangle,Morgan Blvd.,0.2
Federal Triangle,Mt. Vernon Square-UDC,0.3
Federal Triangle,Navy Yard,2
Federal Triangle,Naylor Road,0.9
Federal Triangle,New Carrollton,8.3
Federal Triangle,New York Ave,4.7
Federal Triangle,Pentagon,2.4
Federal Triangle,Pentagon City,1.8
Federal Triangle,Potomac Avenue,0.6
Federal Triangle,Prince George's Plaza,0.3
Federal Triangle,Reagan Washington National Airport,1.6
Federal Triangle,Rhode Island Avenue,1.5
Federal Triangle,Rockville,0.2
Federal Triangle,Rosslyn,10.4
Federal Triangle,Shady Grove,1
Federal Triangle,Shaw-Howard University,0.5
Federal Triangle,Silver Spring,1.1
Federal Triangle,Smithsonian,7
Federal Triangle,Southern Avenue,1.6
Federal Triangle,Stadium-Armory,1.1
Federal Triangle,Suitland,1.5
Federal Triangle,Tenleytown-AU,2.5
Federal Triangle,Twinbrook,0.1
Federal Triangle,U Street-Cardozo,0.3
Federal Triangle,Union Station,6.1
Federal Triangle,Van Dorn Street,0.7
Federal Triangle,Van Ness-UDC,0.6
Federal Triangle,Vienna,3.2
Federal Triangle,Virginia Square-GMU,2.4
Federal Triangle,Waterfront,1.5
Federal Triangle,West Falls Church,1.1
Federal Triangle,West Hyattsville,0.3
Federal Triangle,Wheaton,0
Federal Triangle,White Flint,0
Federal Triangle,Woodley Park-Zoo,0.5
Foggy Bottom,Addison Road,6.7
Foggy Bottom,Anacostia,13.6
Foggy Bottom,Archives-Navy Memorial,9.7
Foggy Bottom,Arlington Cemetery,16.2
Foggy Bottom,Ballston,105.5
Foggy Bottom,Benning Road,10.6
Foggy Bottom,Bethesda,15.8
Foggy Bottom,Braddock Road,20.1
Foggy Bottom,Branch Avenue,5.3
Foggy Bottom,Brookland,18.6
Foggy Bottom,Capitol Heights,1.1
Foggy Bottom,Capitol South,173.3
Foggy Bottom,Cheverly,1.5
Foggy Bottom,Clarendon,24
Foggy Bottom,Cleveland Park,1.3
Foggy Bottom,College Park-U of MD,9.9
Foggy Bottom,Columbia Heights,8.8
Foggy Bottom,Congress Heights,4.1
Foggy Bottom,Court House,51.5
Foggy Bottom,Crystal City,73.1
Foggy Bottom,Deanwood,3.1
Foggy Bottom,Dunn Loring,23.4
Foggy Bottom,Dupont Circle,6.7
Foggy Bottom,East Falls Church,9.4
Foggy Bottom,Eastern Market,27.7
Foggy Bottom,Eisenhower Avenue,1.5
Foggy Bottom,Farragut North,2.6
Foggy Bottom,Farragut West,52.4
Foggy Bottom,Federal Center SW,85.4
Foggy Bottom,Federal Triangle,102.5
Foggy Bottom,Foggy Bottom,41.5
Foggy Bottom,Forest Glen,4.3
Foggy Bottom,Fort Totten,7.8
Foggy Bottom,Franconia-Springfield,17.9
Foggy Bottom,Friendship Heights,10.5
Foggy Bottom,Gallery Place-Chinatown,40.1
Foggy Bottom,Georgia Avenue-Petworth,3.6
Foggy Bottom,Glenmont,3
Foggy Bottom,Greenbelt,8.2
Foggy Bottom,Grosvenor,2.5
Foggy Bottom,Huntington,7.1
Foggy Bottom,Judiciary Square,56.5
Foggy Bottom,King Street,66.4
Foggy Bottom,Landover,2.8
Foggy Bottom,Largo Town Center,4.7
Foggy Bottom,L'Enfant Plaza,102.9
Foggy Bottom,McPherson Square,149.5
Foggy Bottom,Medical Center,8.8
Foggy Bottom,Metro Center,172
Foggy Bottom,Minnesota Avenue,8.5
Foggy Bottom,Morgan Blvd.,0.7
Foggy Bottom,Mt. Vernon Square-UDC,5.3
Foggy Bottom,Navy Yard,24
Foggy Bottom,Naylor Road,1.3
Foggy Bottom,New Carrollton,21
Foggy Bottom,New York Ave,22.5
Foggy Bottom,Pentagon,64.2
Foggy Bottom,Pentagon City,34.6
Foggy Bottom,Potomac Avenue,6
Foggy Bottom,Prince George's Plaza,3.7
Foggy Bottom,Reagan Washington National Airport,64.3
Foggy Bottom,Rhode Island Avenue,6.5
Foggy Bottom,Rockville,4
Foggy Bottom,Rosslyn,144.3
Foggy Bottom,Shady Grove,11.4
Foggy Bottom,Shaw-Howard University,4
Foggy Bottom,Silver Spring,17.7
Foggy Bottom,Smithsonian,92.5
Foggy Bottom,Southern Avenue,5.7
Foggy Bottom,Stadium-Armory,5.1
Foggy Bottom,Suitland,12.4
Foggy Bottom,Takoma,4.8
Foggy Bottom,Tenleytown-AU,6.8
Foggy Bottom,Twinbrook,3
Foggy Bottom,U Street-Cardozo,7.4
Foggy Bottom,Union Station,149
Foggy Bottom,Van Dorn Street,4
Foggy Bottom,Van Ness-UDC,7.4
Foggy Bottom,Vienna,28
Foggy Bottom,Virginia Square-GMU,24.1
Foggy Bottom,Waterfront,11.5
Foggy Bottom,West Falls Church,56.2
Foggy Bottom,West Hyattsville,1.3
Foggy Bottom,Wheaton,2.1
Foggy Bottom,White Flint,2.7
Foggy Bottom,Woodley Park-Zoo,5.7
Forest Glen,Addison Road,0.9
Forest Glen,Anacostia,6.6
Forest Glen,Archives-Navy Memorial,8.9
Forest Glen,Arlington Cemetery,0.5
Forest Glen,Ballston,16
Forest Glen,Benning Road,1
Forest Glen,Bethesda,2.5
Forest Glen,Braddock Road,2.7
Forest Glen,Branch Avenue,1.3
Forest Glen,Brookland,32.5
Forest Glen,Capitol Heights,0
Forest Glen,Capitol South,16.9
Forest Glen,Clarendon,2
Forest Glen,Cleveland Park,2.9
Forest Glen,College Park-U of MD,10.2
Forest Glen,Columbia Heights,12
Forest Glen,Congress Heights,1.8
Forest Glen,Court House,5.9
Forest Glen,Crystal City,30.7
Forest Glen,Deanwood,0.4
Forest Glen,Dunn Loring,0.8
Forest Glen,Dupont Circle,57
Forest Glen,East Falls Church,0.5
Forest Glen,Eastern Market,4.6
Forest Glen,Eisenhower Avenue,1.9
Forest Glen,Farragut North,281.1
Forest Glen,Farragut West,23.7
Forest Glen,Federal Center SW,23.7
Forest Glen,Federal Triangle,30.6
Forest Glen,Foggy Bottom,47.4
Forest Glen,Forest Glen,3.9
Forest Glen,Fort Totten,6.5
Forest Glen,Franconia-Springfield,1.4
Forest Glen,Friendship Heights,3.2
Forest Glen,Gallery Place-Chinatown,101.2
Forest Glen,Georgia Avenue-Petworth,1.9
Forest Glen,Glenmont,1.6
Forest Glen,Greenbelt,2.4
Forest Glen,Grosvenor,0.3
Forest Glen,Huntington,1.1
Forest Glen,Judiciary Square,105
Forest Glen,King Street,13.4
Forest Glen,Landover,0.6
Forest Glen,Largo Town Center,1.5
Forest Glen,L'Enfant Plaza,70.6
Forest Glen,McPherson Square,33.5
Forest Glen,Medical Center,1.1
Forest Glen,Metro Center,193.5
Forest Glen,Minnesota Avenue,0.4
Forest Glen,Morgan Blvd.,0.9
Forest Glen,Mt. Vernon Square-UDC,5.5
Forest Glen,Navy Yard,23
Forest Glen,Naylor Road,0.3
Forest Glen,New Carrollton,0.9
Forest Glen,New York Ave,30.6
Forest Glen,Pentagon,19.5
Forest Glen,Pentagon City,7.1
Forest Glen,Potomac Avenue,2
Forest Glen,Prince George's Plaza,2.7
Forest Glen,Reagan Washington National Airport,10.4
Forest Glen,Rhode Island Avenue,5
Forest Glen,Rockville,0.5
Forest Glen,Rosslyn,30.4
Forest Glen,Shady Grove,0.5
Forest Glen,Shaw-Howard University,3.3
Forest Glen,Silver Spring,39.3
Forest Glen,Smithsonian,45.9
Forest Glen,Southern Avenue,0.6
Forest Glen,Stadium-Armory,2.4
Forest Glen,Suitland,10.3
Forest Glen,Takoma,4.6
Forest Glen,Tenleytown-AU,4
Forest Glen,Twinbrook,0.3
Forest Glen,U Street-Cardozo,9.5
Forest Glen,Union Station,173.1
Forest Glen,Van Dorn Street,0.7
Forest Glen,Van Ness-UDC,3
Forest Glen,Vienna,0.5
Forest Glen,Virginia Square-GMU,3.1
Forest Glen,Waterfront,3.1
Forest Glen,West Falls Church,3.9
Forest Glen,West Hyattsville,0.9
Forest Glen,Wheaton,4.1
Forest Glen,White Flint,0.8
Forest Glen,Woodley Park-Zoo,6.4
Fort Totten,Addison Road,6.9
Fort Totten,Anacostia,53.3
Fort Totten,Archives-Navy Memorial,53.9
Fort Totten,Arlington Cemetery,1
Fort Totten,Ballston,28
Fort Totten,Benning Road,7.1
Fort Totten,Bethesda,18.5
Fort Totten,Braddock Road,8.5
Fort Totten,Branch Avenue,12.8
Fort Totten,Brookland,76
Fort Totten,Capitol Heights,3.4
Fort Totten,Capitol South,26.5
Fort Totten,Cheverly,2.7
Fort Totten,Clarendon,9.2
Fort Totten,Cleveland Park,8.1
Fort Totten,College Park-U of MD,19.6
Fort Totten,Columbia Heights,204.8
Fort Totten,Congress Heights,12
Fort Totten,Court House,19.6
Fort Totten,Crystal City,53.1
Fort Totten,Deanwood,7.3
Fort Totten,Dunn Loring,10.7
Fort Totten,Dupont Circle,152.6
Fort Totten,East Falls Church,8.2
Fort Totten,Eastern Market,22.7
Fort Totten,Eisenhower Avenue,5.3
Fort Totten,Farragut North,363
Fort Totten,Farragut West,53.4
Fort Totten,Federal Center SW,23.3
Fort Totten,Federal Triangle,45.6
Fort Totten,Foggy Bottom,111.4
Fort Totten,Forest Glen,8
Fort Totten,Fort Totten,13.5
Fort Totten,Franconia-Springfield,7.7
Fort Totten,Friendship Heights,12.2
Fort Totten,Gallery Place-Chinatown,122.1
Fort Totten,Georgia Avenue-Petworth,58.2
Fort Totten,Glenmont,12.1
Fort Totten,Greenbelt,33.1
Fort Totten,Grosvenor,2.8
Fort Totten,Huntington,11.5
Fort Totten,Judiciary Square,145.6
Fort Totten,King Street,20.1
Fort Totten,Landover,1.9
Fort Totten,Largo Town Center,8.7
Fort Totten,L'Enfant Plaza,160.7
Fort Totten,McPherson Square,68.1
Fort Totten,Medical Center,23.3
Fort Totten,Metro Center,207.4
Fort Totten,Minnesota Avenue,16.4
Fort Totten,Morgan Blvd.,7
Fort Totten,Mt. Vernon Square-UDC,30.5
Fort Totten,Navy Yard,61
Fort Totten,Naylor Road,10.1
Fort Totten,New Carrollton,7.2
Fort Totten,New York Ave,122.9
Fort Totten,Pentagon,53.7
